ts_code,symbol,name,industry,list_date
600192.SH,600192,长城电工,电气设备,19981224
600193.SH,600193,*ST创兴,装修装饰,19990527
600195.SH,600195,中牧股份,农业综合,19990107
600196.SH,600196,复星医药,化学制药,19980807
600197.SH,600197,伊力特,白酒,19990916
600198.SH,600198,大唐电信,通信设备,19981021
600199.SH,600199,金种子酒,白酒,19980812
600201.SH,600201,生物股份,农业综合,19990115
600202.SH,600202,哈空调,专用机械,19990603
600203.SH,600203,福日电子,元器件,19990514
600206.SH,600206,有研新材,半导体,19990319
600207.SH,600207,安彩高科,电气设备,19990714
600208.SH,600208,衢州发展,全国地产,19990623
600210.SH,600210,紫江企业,广告包装,19990824
600211.SH,600211,西藏药业,生物制药,19990721
600212.SH,600212,绿能慧充,电气设备,19990817
600215.SH,600215,派斯林,专用机械,19990909
600216.SH,600216,浙江医药,化学制药,19991021
600217.SH,600217,中再资环,环境保护,19991216
600218.SH,600218,全柴动力,汽车配件,19981203
600219.SH,600219,南山铝业,铝,19991223
600221.SH,600221,海航控股,空运,19991125
600222.SH,600222,太龙药业,中成药,19991105
600223.SH,600223,福瑞达,日用化工,20000113
600226.SH,600226,亨通股份,供气供热,19991116
600227.SH,600227,赤天化,农药化肥,20000221
600228.SH,600228,*ST返利,互联网,19990119
600229.SH,600229,城市传媒,出版业,20000309
600230.SH,600230,沧州大化,化工原料,20000406
600231.SH,600231,凌钢股份,普钢,20000511
600232.SH,600232,金鹰股份,纺织机械,20000602
600233.SH,600233,圆通速递,仓储物流,20000608
600234.SH,600234,科新发展,装修装饰,20000615
600235.SH,600235,民丰特纸,造纸,20000615
600236.SH,600236,桂冠电力,水力发电,20000323
600237.SH,600237,铜峰电子,元器件,20000609
600238.SH,600238,*ST椰岛,红黄酒,20000120
600239.SH,600239,云南城投,区域地产,19991202
600241.SH,600241,时代万恒,电气设备,20001128
600243.SH,600243,*ST海华,运输设备,20001120
600246.SH,600246,万通发展,区域地产,20000922
600248.SH,600248,陕建股份,建筑工程,20000622
600249.SH,600249,两面针,日用化工,20040130
600250.SH,600250,南京商旅,商贸代理,20010306
600251.SH,600251,冠农股份,农业综合,20030609
600252.SH,600252,中恒集团,中成药,20001130
600255.SH,600255,鑫科材料,小金属,20001122
600256.SH,600256,广汇能源,石油开采,20000526
600257.SH,600257,大湖股份,渔业,20000612
600258.SH,600258,首旅酒店,酒店餐饮,20000601
600259.SH,600259,中稀有色,小金属,20000525
600261.SH,600261,阳光照明,家用电器,20000720
600262.SH,600262,北方股份,专用机械,20000630
600265.SH,600265,ST景谷,林业,20000825
600266.SH,600266,城建发展,区域地产,19990203
600267.SH,600267,海正药业,化学制药,20000725
600268.SH,600268,国电南自,电气设备,19991118
600269.SH,600269,赣粤高速,路桥,20000518
600271.SH,600271,航天信息,软件服务,20030711
600272.SH,600272,开开实业,医药商业,20010228
600273.SH,600273,嘉化能源,化工原料,20030627
600276.SH,600276,恒瑞医药,化学制药,20001018
600278.SH,600278,东方创业,商贸代理,20000712
600279.SH,600279,重庆港,港口,20000731
600280.SH,600280,中央商场,百货,20000926
600281.SH,600281,华阳新材,小金属,20001109
600282.SH,600282,南钢股份,普钢,20000919
600283.SH,600283,钱江水利,水务,20001018
600284.SH,600284,浦东建设,建筑工程,20040316
600285.SH,600285,羚锐制药,中成药,20001018
600287.SH,600287,苏豪时尚,商贸代理,20000901
600288.SH,600288,大恒科技,元器件,20001129
600289.SH,600289,ST信通,软件服务,20000720
600292.SH,600292,电投水电,水力发电,20001101
600293.SH,600293,三峡新材,玻璃,20000919
600295.SH,600295,鄂尔多斯,特种钢,20010426
600298.SH,600298,安琪酵母,食品,20000818
600299.SH,600299,安迪苏,饲料,20000420
600300.SH,600300,维维股份,软饮料,20000630
600301.SH,600301,华锡有色,小金属,20000712
600302.SH,600302,标准股份,纺织机械,20001213
600303.SH,600303,曙光股份,汽车整车,20001226
600305.SH,600305,恒顺醋业,食品,20010206
600307.SH,600307,酒钢宏兴,普钢,20001220
600308.SH,600308,华泰股份,造纸,20000928
600309.SH,600309,万华化学,化工原料,20010105
600310.SH,600310,广西能源,水力发电,20010228
600312.SH,600312,平高电气,电气设备,20010221
600313.SH,600313,农发种业,种植业,20010119
600315.SH,600315,上海家化,日用化工,20010315
600316.SH,600316,洪都航空,航空,20001215
600318.SH,600318,新力金融,多元金融,20001208
600319.SH,600319,亚星化学,化工原料,20010326
600320.SH,600320,振华重工,专用机械,20001221
600322.SH,600322,津投城开,区域地产,20010910
600323.SH,600323,瀚蓝环境,环境保护,20001225
